,DEPTH,DT,GR,NPHI,PEF,RHOB,WELL
69703,2577.0,109.385,74.697,0.403,8.136,2.347,15/9-F-11 A
69704,2577.1,110.132,72.797,0.399,7.925,2.357,15/9-F-11 A
69705,2577.2,110.843,71.629,0.39,7.775,2.36,15/9-F-11 A
69706,2577.3,111.01,69.899,0.385,7.592,2.361,15/9-F-11 A
69707,2577.4,110.797,69.041,0.382,7.38,2.363,15/9-F-11 A
69708,2577.5,110.053,70.135,0.385,7.177,2.364,15/9-F-11 A
69709,2577.6,108.81,72.009,0.372,7.011,2.363,15/9-F-11 A
69710,2577.7,107.26,72.315,0.347,6.881,2.363,15/9-F-11 A
69711,2577.8,106.38,65.947,0.317,6.787,2.366,15/9-F-11 A
69712,2577.9,105.081,61.051,0.295,6.736,2.37,15/9-F-11 A
69713,2578.0,103.452,56.121,0.28,6.756,2.375,15/9-F-11 A
69714,2578.1,103.758,53.822,0.274,6.841,2.381,15/9-F-11 A
69715,2578.2,103.968,54.245,0.279,6.962,2.386,15/9-F-11 A
69716,2578.3,104.077,56.558,0.305,7.11,2.386,15/9-F-11 A
69717,2578.4,105.942,59.205,0.344,7.283,2.376,15/9-F-11 A
69718,2578.5,107.291,68.224,0.392,7.472,2.357,15/9-F-11 A
69719,2578.6,107.911,74.286,0.436,7.601,2.337,15/9-F-11 A
69720,2578.7,108.167,79.991,0.467,7.593,2.321,15/9-F-11 A
69721,2578.8,108.126,82.843,0.475,7.45,2.309,15/9-F-11 A
69722,2578.9,107.677,80.635,0.468,7.247,2.297,15/9-F-11 A
69723,2579.0,107.583,78.147,0.451,7.057,2.289,15/9-F-11 A
69724,2579.1,107.207,74.469,0.432,6.879,2.286,15/9-F-11 A
69725,2579.2,106.196,71.823,0.411,6.703,2.287,15/9-F-11 A
69726,2579.3,104.946,68.51,0.39,6.563,2.291,15/9-F-11 A
69727,2579.4,103.517,63.697,0.373,6.516,2.295,15/9-F-11 A
69728,2579.5,101.79,60.984,0.36,6.564,2.297,15/9-F-11 A
69729,2579.6,100.625,59.559,0.353,6.629,2.298,15/9-F-11 A
69730,2579.7,99.581,60.281,0.349,6.642,2.299,15/9-F-11 A
69731,2579.8,98.405,61.81,0.347,6.603,2.298,15/9-F-11 A
69732,2579.9,97.365,62.827,0.344,6.575,2.298,15/9-F-11 A
69733,2580.0,96.475,61.229,0.336,6.621,2.299,15/9-F-11 A
69734,2580.1,95.978,56.786,0.318,6.748,2.304,15/9-F-11 A
69735,2580.2,96.387,52.98,0.291,6.903,2.315,15/9-F-11 A
69736,2580.3,97.225,49.839,0.27,7.032,2.334,15/9-F-11 A
69737,2580.4,98.055,46.676,0.264,7.112,2.36,15/9-F-11 A
69738,2580.5,98.846,48.426,0.281,7.147,2.386,15/9-F-11 A
69739,2580.6,99.652,53.772,0.315,7.159,2.402,15/9-F-11 A
69740,2580.7,100.778,55.938,0.357,7.169,2.404,15/9-F-11 A
69741,2580.8,102.782,57.966,0.394,7.175,2.394,15/9-F-11 A
69742,2580.9,105.451,61.399,0.42,7.154,2.378,15/9-F-11 A
69743,2581.0,108.668,64.106,0.429,7.08,2.36,15/9-F-11 A
69744,2581.1,111.235,64.695,0.418,6.955,2.342,15/9-F-11 A
69745,2581.2,113.215,63.66,0.394,6.812,2.326,15/9-F-11 A
69746,2581.3,113.393,61.737,0.366,6.702,2.313,15/9-F-11 A
69747,2581.4,113.012,57.728,0.354,6.675,2.306,15/9-F-11 A
69748,2581.5,112.043,56.684,0.355,6.748,2.307,15/9-F-11 A
69749,2581.6,111.186,58.475,0.361,6.89,2.314,15/9-F-11 A
69750,2581.7,110.56,60.571,0.364,7.042,2.328,15/9-F-11 A
69751,2581.8,110.226,59.956,0.363,7.146,2.343,15/9-F-11 A
69752,2581.9,110.072,62.364,0.361,7.184,2.356,15/9-F-11 A
69753,2582.0,109.814,64.078,0.361,7.144,2.364,15/9-F-11 A
69754,2582.1,109.368,65.024,0.358,7.037,2.363,15/9-F-11 A
69755,2582.2,108.376,65.383,0.352,6.9,2.356,15/9-F-11 A
69756,2582.3,107.286,60.014,0.341,6.776,2.343,15/9-F-11 A
69757,2582.4,106.169,57.329,0.333,6.702,2.33,15/9-F-11 A
69758,2582.5,105.546,53.38,0.33,6.687,2.321,15/9-F-11 A
69759,2582.6,105.256,53.025,0.332,6.726,2.318,15/9-F-11 A
69760,2582.7,105.498,53.268,0.336,6.787,2.319,15/9-F-11 A
69761,2582.8,106.226,54.005,0.342,6.826,2.323,15/9-F-11 A
69762,2582.9,107.067,55.186,0.352,6.829,2.326,15/9-F-11 A
69763,2583.0,107.81,57.015,0.364,6.81,2.325,15/9-F-11 A
69764,2583.1,108.231,58.923,0.37,6.776,2.321,15/9-F-11 A
69765,2583.2,108.428,57.322,0.367,6.722,2.312,15/9-F-11 A
69766,2583.3,108.222,53.054,0.35,6.638,2.298,15/9-F-11 A
69767,2583.4,107.547,48.613,0.329,6.523,2.282,15/9-F-11 A
69768,2583.5,106.76,43.197,0.309,6.372,2.265,15/9-F-11 A
69769,2583.6,106.63,39.274,0.295,6.172,2.248,15/9-F-11 A
69770,2583.7,106.25,38.028,0.293,5.949,2.234,15/9-F-11 A
69771,2583.8,105.704,35.791,0.302,5.783,2.221,15/9-F-11 A
69772,2583.9,105.006,36.269,0.324,5.792,2.214,15/9-F-11 A
69773,2584.0,103.904,43.543,0.355,6.035,2.217,15/9-F-11 A
69774,2584.1,102.672,55.699,0.384,6.423,2.234,15/9-F-11 A
69775,2584.2,104.329,59.047,0.4,6.78,2.26,15/9-F-11 A
69776,2584.3,105.652,61.346,0.395,6.997,2.286,15/9-F-11 A
69777,2584.4,106.671,63.256,0.379,7.063,2.305,15/9-F-11 A
69778,2584.5,107.012,63.707,0.368,7.027,2.318,15/9-F-11 A
69779,2584.6,106.852,62.128,0.36,6.945,2.327,15/9-F-11 A
69780,2584.7,106.158,60.383,0.361,6.86,2.335,15/9-F-11 A
69781,2584.8,105.596,62.979,0.373,6.824,2.343,15/9-F-11 A
69782,2584.9,105.428,65.577,0.386,6.788,2.35,15/9-F-11 A
69783,2585.0,105.765,69.123,0.397,6.831,2.354,15/9-F-11 A
69784,2585.1,104.529,68.21,0.4,6.92,2.354,15/9-F-11 A
69785,2585.2,103.05,65.934,0.397,7.033,2.351,15/9-F-11 A
69786,2585.3,101.428,64.636,0.389,7.14,2.344,15/9-F-11 A
69787,2585.4,97.223,63.081,0.378,7.222,2.336,15/9-F-11 A
69788,2585.5,93.126,60.644,0.361,7.274,2.33,15/9-F-11 A
69789,2585.6,90.051,58.007,0.339,7.275,2.327,15/9-F-11 A
69790,2585.7,88.222,55.281,0.316,7.184,2.327,15/9-F-11 A
69791,2585.8,87.477,53.072,0.3,6.981,2.328,15/9-F-11 A
69792,2585.9,88.688,55.552,0.298,6.728,2.326,15/9-F-11 A
69793,2586.0,90.091,64.268,0.399,6.803,2.31,15/9-F-11 A
69794,2586.1,91.469,68.936,0.412,6.873,2.3,15/9-F-11 A
69795,2586.2,92.587,71.869,0.417,6.94,2.297,15/9-F-11 A
69796,2586.3,92.886,71.7,0.41,6.915,2.298,15/9-F-11 A
69797,2586.4,92.891,70.601,0.396,6.78,2.299,15/9-F-11 A
